title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Crazy - Single Version,"Patsy Cline, The Jordanaires",3zpj9dvJABiyMrmLCPw6i8,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796,3
Folsom Prison Blues,"Johnny Cash, The Tennessee Two",121sjkub4p4zcFNozkKnQD,0.754,0.54,5,-8.326,1,0.0266,0.687,7.51e-05,0.0868,0.79,101.738,10
I Will Always Love You,Dolly Parton,6nRvgo4ySezQKD1D7NIqAu,0.446,0.142,9,-13.498,1,0.0335,0.96,0.00114,0.101,0.156,135.724,3
Springsteen,Eric Church,05ZACkzW8YbRq3eFgIfSNB,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,15
He Stopped Loving Her Today,George Jones,6qMgx8ys4MNNxypaIvbG0i,0.43,0.173,8,-18.597,1,0.0321,0.594,0.000111,0.224,0.365,72.103,3
The Devil Went Down to Georgia,The Charlie Daniels Band,383Xl5QTigwj3QiA3Qc6S7,0.523,0.626,0,-9.425,1,0.0523,0.155,0.0,0.0869,0.917,134.127,15
King Of The Road,Roger Miller,0tm2gY77p2X7BsSWRq0cBk,0.672,0.278,11,-13.733,1,0.0704,0.712,0.0,0.202,0.6,117.96,3
Dirt Road Anthem,Jason Aldean,7awFBRzXpFoy8YIm9zOb5s,0.678,0.739,2,-5.068,1,0.0352,0.32,2.36e-06,0.116,0.658,127.037,15
El Paso,Marty Robbins,4f8hBeMXMvssn6HtFAtblo,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-05,0.16,0.691,106.662,10
I Fall To Pieces - Single Version,"Patsy Cline, The Jordanaires",6zFsz86nAj5gcvzyVqNL3k,0.54,0.0568,10,-20.508,1,0.0351,0.917,1.01e-06,0.12,0.506,111.791,3
On the Road Again,Willie Nelson,3MpK9vnxxgYvh0CNeGvx6G,0.731,0.716,4,-7.962,1,0.0417,0.687,0.000882,0.597,0.777,111.281,10
Mountain Music,Alabama,7BjmEKAVTnJNkRNaUzBy2K,0.467,0.526,9,-9.982,1,0.0433,0.119,0.0,0.124,0.753,109.555,1
How Forever Feels,Kenny Chesney,2HmMklpgK8vGCpJmPpz1yG,0.723,0.674,7,-7.427,1,0.0297,0.0986,1.83e-05,0.279,0.61,124.9,1
Stand By Your Man,Tammy Wynette,6xatfNMI8NkY5XxRHAeiS4,0.517,0.246,9,-11.992,1,0.0308,0.788,0.00105,0.133,0.525,105.24,3
